         1240882520 function calls (1240874123 primitive calls) in 692.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 numeric.py:1(<module>)
        6    0.000    0.000    0.039    0.006 base.py:1(<module>)
      296    0.000    0.000    0.000    0.000 stringsource:652(memoryview_cwrapper)
      520    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
       23    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
        1    0.000    0.000    0.065    0.065 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       90    0.000    0.000    0.000    0.000 einsumfunc.py:983(einsum)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.004    0.004 __init__.py:634(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1459(__init__)
       64    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
        5    0.000    0.000    0.000    0.000 function_base.py:25(linspace)
      661    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
       59    0.000    0.000    0.000    0.000 fromnumeric.py:601(partition)
     1186    0.000    0.000    0.000    0.000 inspect.py:2438(default)
       19    0.000    0.000    0.000    0.000 sputils.py:120(get_index_dtype)
        1    0.000    0.000    0.032    0.032 _distn_infrastructure.py:5(<module>)
       64    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 fastica_.py:6(<module>)
      331    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        4    0.000    0.000    0.000    0.000 numeric.py:2916(extend_all)
      150    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 DBCV.py:130(_mutual_reach_dist_MST)
       13    0.000    0.000    0.005    0.000 _distn_infrastructure.py:2717(_construct_docstrings)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1936(frechet_l_gen)
        1    0.000    0.000    0.135    0.135 stats.py:156(<module>)
        7    0.000    0.000    0.001    0.000 nonlin.py:1499(_nonlin_wrapper)
      330    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      121    0.000    0.000    0.000    0.000 _util.py:173(check_random_state)
        1    0.000    0.000    0.001    0.001 lapack.py:461(<module>)
        2    0.000    0.000    0.000    0.000 DBCV.py:148(_cluster_density_sparseness)
       87    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.001    0.001 mio5_params.py:6(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
       81    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
        1    0.000    0.000    0.001    0.001 socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1630(_ip_int_from_string)
       43    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
      187    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
  330/296    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.001    0.000 enum.py:314(_create_)
        7    0.000    0.000    0.000    0.000 core.py:2772(__new__)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
       89    0.000    0.000    0.000    0.000 extmath.py:115(safe_sparse_dot)
       36    0.000    0.000    0.000    0.000 numeric.py:2491(seterr)
       78    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
       34    0.000    0.000    0.000    0.000 getlimits.py:376(__new__)
        1    0.000    0.000    0.009    0.009 __init__.py:184(<module>)
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
       73    0.000    0.000    0.000    0.000 sre_parse.py:312(_class_escape)
      8/6    0.000    0.000    0.001    0.000 compressed.py:25(__init__)
       51    0.000    0.000    0.000    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
        1    0.000    0.000  692.421  692.421 DBCV.py:16(DBCV)
        1    0.000    0.000    0.053    0.053 add_newdocs.py:10(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
      529    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
        1    0.000    0.000    0.001    0.001 my_exceptions.py:89(_mk_common_exceptions)
        1    0.000    0.000    0.000    0.000 samples_generator.py:639(make_moons)
        1    0.000    0.000    0.010    0.010 distance.py:72(<module>)
        1    0.000    0.000    0.000    0.000 mstats_extras.py:4(<module>)
      132    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      435    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 matlib.py:1(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
      286    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
      278    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.013    0.013 fixes.py:5(<module>)
       23    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 bz2.py:31(BZ2File)
        1    0.000    0.000    0.019    0.019 request.py:68(<module>)
        2    0.000    0.000    0.021    0.010 base.py:3(<module>)
        9    0.000    0.000    0.000    0.000 datetime.py:338(__new__)
        1    0.000    0.000    0.000    0.000 nonlin.py:1330(KrylovJacobian)
      285    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:1037(LinearModelCV)
      152    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.114    0.114 distributions.py:8(<module>)
        1    0.000    0.000    0.000    0.000 base.py:299(asformat)
        1    0.000    0.000    0.000    0.000 core.py:1695(mask_or)
      218    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       53    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
       10    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 _version.py:55(__init__)
       36    0.000    0.000    0.000    0.000 numeric.py:2592(geterr)
        1    0.000    0.000    0.009    0.009 _discrete_distns.py:5(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:299(_add_aliases)
    20/19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
        1    0.000    0.000    0.145    0.145 __init__.py:342(<module>)
      148    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
        1    0.000    0.000    0.000    0.000 pydoc.py:462(HTMLDoc)
       78    0.000    0.000    0.001    0.000 sre_parse.py:90(closegroup)
        1    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_eliminate_zeros}
        1    0.000    0.000    0.002    0.002 Image.py:27(<module>)
